pos,item,qty,approx_price_usd,source,notes
1,लैंगेविन ट्रांसड्यूसर 40 kHz 50-60 W,4,40,AliExpress,अनुनाद प्रसार ±1 kHz — एक ही बैच से 4 खरीदें; स्वीप सर्वोत्तम जोड़ी चुनता है (docs/img/sim2)
2,AD9833 DDS मॉड्यूल,2,8,AliExpress,रास्पबेरी पाई के साथ SPI; दूसरा एक स्पेयर है
3,IR2110 + 2x IRF540 (या EGS002 मॉड्यूल),1,10,AliExpress/eBay,ड्राइवर हाफ-ब्रिज; EGS002 डेड टाइम के साथ शेपर को भी कवर करता है
4,फेराइट टोरॉइड + चुंबकीय तार,1,3,स्थानीय,मैचिंग ट्रांसफार्मर
5,ADS1115 ADC,2,4,AliExpress,I2C; पाई का अपना कोई ADC नहीं है! दूसरा — स्पेयर / TX करंट चैनल (docs/03)
6,शॉट्की ब्रिज (4x SS14) + सुपरकैपेसिटर 1F 5.5V,1,3,AliExpress,रिसीवर साइड
7,TVS: SMBJ5.0A x3 + SMBJ15CA x2,1,2,AliExpress,5.0A — ADC DC इनपुट (sch2); 15CA द्विदिशात्मक — नोड के पीजो के आर-पार (sch4)
8,GY-LTC3588 मॉड्यूल,1,7,AliExpress,स्टेज 4 के लिए हार्वेस्टर (स्टेज 1 पर वैकल्पिक)
9,स्टील प्लेट 3-5 mm ~150x150 mm,2,5,मेटल यार्ड,दूसरा — स्पेयर/दूसरी मोटाई
10,मोटा सुसंगत ग्रीस + क्लैम्प,1,5,स्थानीय,एपॉक्सी के बिना ध्वनिक संपर्क
11,"सहायक पैसिव (sch1/sch2): UF4007, 74HC14, 1N4148 x4, 10 Ohm x2, 10 kOhm, 47 kOhm, 100 nF x6, 10 uF, 1 uF film, 470 uF",1,4,AliExpress/स्थानीय,इनके बिना ड्राइवर और रिसीवर को डिस्क्रीट पार्ट्स से नहीं बनाया जा सकता; EGS002 के साथ आवश्यक नहीं (रिसीवर भाग को छोड़कर)
12,2N7002 x3 + 0.1 Ohm 1 W शंट,1,1,AliExpress,स्टेज 4: लोड मॉड्यूलेशन (sch4) और TX करंट चैनल (docs/03)
