pos,item,qty,approx_price_usd,source,notes
1,Transducteur Langevin 40 kHz 50-60 W,4,40,AliExpress,dispersion de résonance ±1 kHz — achetez 4 issus d'UN MÊME lot ; le balayage choisit la meilleure paire (docs/img/sim2)
2,Module DDS AD9833,2,8,AliExpress,SPI avec le Raspberry Pi ; le deuxième est une pièce de rechange
3,IR2110 + 2x IRF540 (ou un module EGS002),1,10,AliExpress/eBay,driver demi-pont ; l'EGS002 couvre aussi le circuit de mise en forme avec temps mort
4,Tore ferrite + fil de cuivre émaillé,1,3,local,transformateur d'adaptation
5,ADC ADS1115,2,4,AliExpress,I2C ; le Pi n'a pas d'ADC intégré ! le deuxième — rechange / canal de courant TX (docs/03)
6,Pont Schottky (4x SS14) + supercondensateur 1F 5.5V,1,3,AliExpress,côté récepteur
7,TVS : SMBJ5.0A x3 + SMBJ15CA x2,1,2,AliExpress,5.0A — entrée DC de l'ADC (sch2) ; 15CA bidirectionnel — aux bornes de la céramique du nœud (sch4)
8,Module GY-LTC3588,1,7,AliExpress,récupérateur d'énergie pour l'étape 4 (optionnel à l'étape 1)
9,Plaque d'acier 3-5 mm ~150x150 mm,2,5,ferrailleur,le deuxième — rechange/autre épaisseur
10,Graisse épaisse homogène + serre-joints,1,5,local,contact acoustique sans époxy
11,"Composants passifs de support (sch1/sch2) : UF4007, 74HC14, 1N4148 x4, 10 Ohm x2, 10 kOhm, 47 kOhm, 100 nF x6, 10 uF, 1 uF film, 470 uF",1,4,AliExpress/local,sans ceux-ci le driver et le récepteur ne peuvent être montés en composants discrets ; non nécessaires avec l'EGS002 (sauf la partie récepteur)
12,2N7002 x3 + shunt 0.1 Ohm 1 W,1,1,AliExpress,étape 4 : modulation de charge (sch4) et canal de courant TX (docs/03)
